ISBN,Title,PublicationPlace,PublicationDate,Edition,AuthorNames
9780436121098,A Critical History of English Literature - Volume 2,London,1969,2nd,Daiches David
9780436121104,A Critical History of English Literature - Volume 3,London,1969,2nd,Daiches David
0333495780,A critical introduction to the poems of Thomas Hardy,London,1991,,Johnson Trevor
0521278961,A Critical Introduction to Twentieth Century American Drama,Cambridge,,,Bigsby C. W. E.
0340676809,A Cultural History of the English Language,London,1997,,Knowles Gerry
9780415094559,A Curriculum for the Pre-School Child Learning to Learn,London,1986,,Curtis Audrey
9780415094559,A Curriculum for the Pre-School Child Learning to Learn,London,1986,,Curtis Audrey
9780415139762,A Curriculum for the Pre-School Child Learning to Learn,London,1998,2nd,CURTIS AUDREY
9780415139762,A Curriculum for the Pre-School Child Learning to Learn,London,1998,2nd,CURTIS AUDREY
9780415139762,A Curriculum for the Pre-School Child Learning to Learn,London,1998,2nd,CURTIS AUDREY
0192831194,A day in our life,Oxford,1992,,O'Crohan Sâean
0571083692,A Day in the Death of Joe Egg,London,1977,,Nichols Peter
379132165X,A Day with Picasso,Munich,1999,,Pfleger Susanne
0333348710,A design engineer's pocket book,London,1983,,Glegg Gordon L.
0333348710,A design engineer's pocket book,London,1983,,Glegg Gordon L.
0333348710,A design engineer's pocket book,London,1983,,Glegg Gordon L.
0-337-08321-5,A Design Guide fo Rural Northern Ireland,Belfast,1994,,Town and Country Planning Service Department of the Environment (NI)
0192800299,A Dictionary of Accounting,Oxford,1995,,Hussey Roger
9780584100587,A Dictionary of Alloys,London,1969,,Simons Eric N.
9780330267960,A Dictionary of British History,London,1982,,Kenyon J. P. 
0710085370,A Dictionary of Catch Phrases,London,1977,,Partridge Eric
0140512225,A dictionary of challenging words,London,1989,1ST,Schur Norman W.
0334003202,A Dictionary of Christian Ethics,LONDON,1967,,MacQuarrie John
0340676353,A dictionary of communication and media studies,Sevenoaks,1997,4TH,Hill Anne; WATSON JAMES
0340574259,A dictionary of communication and media studies,Sevenoaks,1993,3RD ED,Watson James; Hill Anne
0713603704,A Dictionary Of English Costume 900-1900,London,1965,,Beard C.; Cunnington Cecil Willett; Cunnington Phyllis Emily
0713603704,A Dictionary Of English Costume 900-1900,London,1965,,Beard C.; Cunnington Cecil Willett; Cunnington Phyllis Emily
0709017472,A Dictionary of European Land Battles- From the Earliest Times to 1945,London,1984,,Sweetman John
0198609612,A dictionary of food and nutrition,Oxford,2005,2nd ed.,Bender Arnold Eric; Bender David A.
9780748714056,A Dictionary of Food Hygiene,Cheltenham,1992,,Emmett E. D.
9780748714056,A Dictionary of Food Hygiene,Cheltenham,1992,,Emmett E. D.
071009521X,A Dictionary of Foreign Words & Phrases,London,Rep.1984,,Bliss Alan
0586085076,A Dictionary of Historical Quotations,London,1985,,Palmer Alan
071710866X,A Dictionary Of Irish Biography,Dublin,1978,,Boylan Henry
0717110044,A Dictionary Of Irish Biography,Dublin,1978,,Boylan Henry
0868211230,A Dictionary of Irish Place Names,Belfast,1986,,Room Adrian
0862811325,A Dictionary of Irish Place-Names,Belfast,1986,,Room Adrian
0862811325,A Dictionary of Irish Place-Names,Belfast,1986,,Room Adrian
0198607563,A Dictionary of Law,Oxford,2003,5th ed. (Reissued with new covers),Martin Elizabeth A.
0192800000,A Dictionary of Law,Oxford,1994,3rd ,Martin Elizabeth A.
0582080371,A Dictionary of Literary Terms,Harlow,1997,,
9780584100679,A Dictionary of Machining,London,1972,,Simons Eric N.
0192800973,A Dictionary of Modern Design,Oxford,2004,,Woodham Jonathan M.
0192806386,A dictionary of Shakespeare,Oxford,2005,Rev. ed.,Wells Stanley W.
0192806386,A dictionary of Shakespeare,Oxford,2005,Rev. ed.,Wells Stanley W.
9780471266549,A Dictionary of Sociology,New York,1998,,
0408107332,A Dictionary of the European Communities,Sevenoaks,1981,,Parker Geoffrey; Parker Brenda
0851990207,A Dictionary of Travel and Tourism Terminology,Wallingford,2005,2nd ,Beaver Allan
0851990207,A Dictionary of Travel and Tourism Terminology,Wallingford,2005,2nd ,Beaver Allan
9780572007942,A Dictionary of Watercolour Painters 1750-1900,London,1972,,Fisher Stanley W.
1853027014,A Dragon in Your Heart,London,1999,,Leblanc Sophie
9781447213239,A Dreadful Murder: The Mysterious Death of Caroline Luard,,2013,,Walters Minette
9781447213239,A Dreadful Murder: The Mysterious Death of Caroline Luard,,2013,,Walters Minette
9781447213239,A Dreadful Murder: The Mysterious Death of Caroline Luard,,2013,,Walters Minette
9781447213239,A Dreadful Murder: The Mysterious Death of Caroline Luard,,2013,,Walters Minette
9781447213239,A Dreadful Murder: The Mysterious Death of Caroline Luard,,2013,,Walters Minette
9781447213239,A Dreadful Murder: The Mysterious Death of Caroline Luard,London,2013,,Walters Minette
0752882392,A dream come true,London,2007,,Lee Maureen
0752882392,A dream come true,London,2007,,Lee Maureen
0752882392,A dream come true,London,2007,,Lee Maureen
0752882392,A dream come true,London,2007,,Lee Maureen
0752882392,A dream come true,London,2007,,Lee Maureen
0752882392,A dream come true,London,2007,,Lee Maureen
0752882392,A dream come true,London,2007,,Lee Maureen
0719057973,A Farewell to Arms? - From 'Long War' to Long Peace in Northern Ireland,MANCHESTER,2000,,Cox Michael; Guelke Adrian; Stephen Fiona
9781405443937,A field guide to the wildlife of the British Isles,Bath,2010,,Tomsett Alice
9780434929405,A First Book of Antiques,London,1970,,Bracegirdle Cyril
0748715096,A First Course in Caring,London~cheltenham,1992,1993 reprint,Clarke Liam; Rowell Karen; White Margaret
0534053106,A First Course in Discrete Mathematics,Belmont Calif. ,c1986,,Molluzzo John C.
0466621968,510.24,Two Week Loan,£18.95,Computing; Mathematics,
0174481810,A First Course in Psychology,Cheltenham,2004,3rd,Hayes Nicky
0174481810,A First Course in Psychology,Cheltenham,2004,3rd,Hayes Nicky
0174481810,A First Course in Psychology,Cheltenham,2004,3rd,Hayes Nicky
0174481810,A First Course in Psychology,Cheltenham,2004,3rd,Hayes Nicky
0174481810,A First Course in Psychology,Cheltenham,2004,3rd,Hayes Nicky
1873981147,A first course in statistics,LONDON,1992,2ND,Booth Dexter J.
0534929648,A First Course in the Finite Element Method,USA,1986,,Logan Daryl L.
0199100462,A First Guide to the Orchestra,Oxford,1992,1ST,Blackwood Alan
0713100273,A first science dictionary,LONDON,1976,,Lucas David; James Harold I.; Simpson John
0340801344,A Foundation Course in Child Care and Education,Sevenoaks,2001,,Mitchell Alison
0340801344,A Foundation Course in Child Care and Education,Sevenoaks,2001,,Mitchell Alison
0340801344,A Foundation Course in Child Care and Education,Sevenoaks,2001,,Mitchell Alison
0340801344,A Foundation Course in Child Care and Education,Sevenoaks,2001,,Mitchell Alison
0340801344,A Foundation Course in Child Care and Education,Sevenoaks,2001,,Mitchell Alison
1844781593,A Framework for Understanding Dyslexia: information on theories and approaches to dyslexia and dyscalculia,London,2004,,Department for Education and Skills
FIP1958,A Friend in Power,LONDON,,,Baker Carlos
058205978X,A Future for the NHS?,Harlow,1994,1ST,Ranade Wendy
0415263387,A Game for Rough Girls? A History of Women's Football in Britain,London,2002,,Williams Jean
0415263387,A Game for Rough Girls? A History of Women's Football in Britain,London,2002,,Williams Jean
1861683901,A genetically modified future?,Cambridge,2007,,Firth Lisa
1861683901,A genetically modified future?,Cambridge,2007,,Firth Lisa
0199146551,A Geography of the European Union: A Regional and Economic Perspective,Oxford,1996,,Spencer Kris; Nagle Garrett
0199146551,A Geography of the European Union: A Regional and Economic Perspective,Oxford,1996,,Spencer Kris; Nagle Garrett
9780571116683,A Giacometti Portrait,London,1981,,Lord James
0582369673,A Glossary of Computing Terms,Harlow,1998,9th ,British Computer Society Schools Committee Glossary Working Party
058227544X,A Glossary of Computing Terms,Harlow,1995,8th,British Computer Society Glossary Working Party
,A Glossary of Special Education,London,,,Phillipps William John
0861014766,A Gourmet's Book of Chocolate,London,1989,,Mackley Lesley; Handslip Carole
0861014049,A Gourmet's Book of Vegetables,London,1989,,Steele Louise
,A Greek-English Lexicon of the New Testament,Great Britain,1901,4th,Thayer Joseph H.
9780582413627,A Guide for Health and Beauty Therapists Volume 1 Face Hands and Feet,Harlow,1993,,Winyard Gaynor
0728707500,A guide to audience development,Huddersfield,2000,,Maitland Heather
0859501248,A Guide to Better Grammar,Cheltenham,1985,,Burt Angela M.
0748711228,A Guide to Better Punctuation,Cheltenham,1991,2nd ed,Burt Angela M.
9780748712342,A Guide to Better Spelling,Cheltenham,1991,2nd,Burt Angela M.
9780333335321,A Guide to Chaucer's Language,London,1983,,Burnley David
9780415266161,A Guide to Early Years Practice,London,2002,2nd,Schmidt Sandra
9780415266161,A Guide to Early Years Practice,London,2002,2nd,Schmidt Sandra
9780415266161,A Guide to Early Years Practice,London,2002,2nd,Schmidt Sandra
C168,A Guide to English Literature,London,1966,,Bateson Frederick Wilse
042151230X,A Guide to European Union law,London,1995,6th,Mathijsen P. S. R. F.
0421635002,A Guide to European Union Law,London,1999,7th,Mathijsen P. S. R. F.
0421635002,A Guide to European Union Law,London,1999,7th,Mathijsen P. S. R. F.
0589004158,A Guide to Flower Arrangement with Special Reference to the Seasons and the Flowers of New Zealand and Australia,Wellington NZ,1970,,Watling Margaret
1871912903,A Guide to HACCP: Hazard Analysis for Small Businesses.,Doncaster,1996,,MacDonald Donald J.; Engel Dagmar M.
9780335101177,A Guide to Learning Independently,Milton Keynes,1983,,Marshall Lorraine A.; Rowland Frances
9780335203666,A Guide to Learning Independently,Milton Keynes,1998,3rd,Marshall Lorraine A.; Rowland Frances
9780335203666,A Guide to Learning Independently,Milton Keynes,1998,3rd,Marshall Lorraine A.; Rowland Frances
0856406716,A Guide to Local History Sources in the Public Record Office of Northern Ireland,Belfast,2000,1ST,Bardon Jonathan
